"485895","0699999999","NIVEL ALUMINIO 24 DE 3 AGUAS (42-074T)","FERRETERIA"
"485935","0699999999","GRAPAS (CAJA) 5/16 #69-546 (TRA-705)","FERRETERIA"
"A117020","0106040101","CAJA EMBALAJE 60LAX40ANX40AL MEMPHIS","OFICINA Y LIBRERA"
"A181424","0107030801","CAJA ARCHIVO CARTON #01 REVIST.CTA AMAR.EUROBOX","OFICINA Y LIBRERA"
"A182224","0107030601","CAJA ARCHIVO CARTON #7 C/TAPA KARDEX AMAR.EUROBOX","OFICINA Y LIBRERA"
"A185625","0107030501","CAJA ARCHIVO CARTON DOBLE ESTAND CTE 371X227X252MM","OFICINA Y LIBRERA"
"A407214","0107180203","REVISTERO MALLA METAL 3 COMP NEGRO","OFICINA Y LIBRERIA"
"B000354","0109040301","CARPETA C/PAPEL CARTON CORRUG. 7 HJS.","OFICINA Y LIBRERA"
"B413565","0401020901","TONER CYAN 006R01464 P/WORKC XEROX 7120/7125","TECNOLOGIA"
"B413567","0401020901","TONER YELLOW 006R01462 P/WORKC XEROX 7120/7125","TECNOLOGIA"
"B413639","0499999999","CARTUCHO EPSON T196120 NEGRO P/XP401","TECNOLOGA"
"B415816","0401020901","TONER LASER CF213 MAG (131A) P/PRO200/M251/276","TECNOLOGIA"
"BR00397","0401020901","TONER BROTHER TN 450 P HL 2270DW","TECNOLOGA"
"BR01915","0401020901","TONER BROTHER TN 310M MAGENTA","TECNOLOGA"
"BR20134","0401020901","TONER BROTHER TN 221 CYAN P/HL 3170","TECNOLOGA"
"BR20627","0401020901","TONER BROTHER TN 720 NEGRO 3000 PAG P/DCP 8110/HL","TECNOLOGIA"
"BR21071","0401020401","CARTUCHO BROTHER LC 103 BK P/MFC J4310/J4510","TECNOLOGIA"
"BR24507","0401020901","TONER BROTHER TN 620 NEGRO 3000 PAG","TECNOLOGA"
"BR25515","0401020901","TONER BROTHER TN 210 BK NEGRO","TECNOLOGA"
"BR27512","0401020901","TONER TN 316 NEGRO P/MFC8600 BROTHER","TECNOLOGIA"
"C153101","0401060502","DVD-R GRABABLE 16X4.7GB CAKE 50","TECNOLOGA"
"C370008","0401060501","CD R GRABABLE 48X80MIN 700MB BULK 10UN","TECNOLOGA"
"C371845","0401050103","TECLADO ESPAOL USB/PS2 RESIS. A DERRAMES D/LIQUI.","TECNOLOGA"
"C378332","0401020901","TONER HP CB436A NEGRO P1505 1522","TECNOLOGA"
"C386582","0401020901","TONER HP CE505A P 2035 2055 DIMERC","TECNOLOGA"
"C401126","0401040403","PORTA MONITOR BRAZO LCD COLUMNA EXTENDIBLE SMARTFI","TECNOLOGA"
"C401362","0401080103","COJIN LUMBAR MESH ERGONOMICO","TECNOLOGA"
"C401363","0401080102","APOYA PIES STNDARD AJUSTABLE","TECNOLOGA"
"C401440","0401080101","APOYA MUECA KEYBOARD NEGRO CUERO P/TECLADO C/MICR","TECNOLOGA"
"C402438","0401020801","TAMBOR DR 210  4UN (DRUM) BROTHER","TECNOLOGIA"
"C408238","0401020401","CARTUCHO INKJET  LC79 MAGENTA P/MFCJ6710DW BROTHER","TECNOLOGIA"
"C412227","0401020401","CARTUCHO HP 711CZ133 BLACK INK CARTRIDGE(80 ML)","TECNOLOGIA"
"C413942","0401020901","TONER BROTHER TN 750 NEGRO 8000 PG PARA DCP 8110D","TECNOLOGA"
"C415720","0401020201","BOTELLA T664220 CYAN P/L110/L200/L355/L555 EPSON","TECNOLOGA"
"C423742","0601030201","ANTIPARRA SEGURIDAD K 2 CLARO AF STEELPRO","FERRETERIA"
"C424346","0108210202","TERMOLAMINADORA A3 SPY ULTRA 330 D CARTA 250 MICR","OFICINA Y LIBRERIA"
"C430003","0401020901","TONER 106R02732 NEGRO P/3615 XEROX","TECNOLOGA"
"C430213","0401020901","TONER LASERJET HP CE255A P/P3015 6000 PAG DIMERC","TECNOLOGA"
"C430215","0401020901","TONER HP CE310A NEGRO P CP1025 1200 PAG. DIMERC","TECNOLOGA"
"C432377","0401020901","TONER NEGRO 106R02773 PARA PHASER 3025 XEROX","TECNOLOGIA"
"C433410","0401020401","CARTUCHO CIAN  T694200  P SC T7000 EPSON","TECNOLOGIA"
"C433594","0202030101","CLORO 5% BIDON DE 5 LTS","ASEO Y LIMPIEZA"
"C433596","0202060101","DETERGENTE LIQ LAVADO AUTOMATICO BID X 10 LT","ASEO Y LIMPIEZA"
"C433748","0401050102","MOUSE OPTICO INALAMBRICO NEGRO","TECNOLOGA"
"C433751","0401050102","MOUSE OPTICO INALAMBRICO VERDE","TECNOLOGA"
"C434902","0401050201","CABLE HDMI EXTRA LARGO 5 METROS CONECTOR GOLD","TECNOLOGIA"
"C435729","","IMPRESORA MULTIFUNCIONAL DCP-T500W INKBENEFITTANK",""
"C435803","0401020401","CARTUCHO LC105C  CIAN P J4410-4510DW BROTHER","TECNOLOGIA"
"C436063","0401050102","COMBO TECLADO Y MOUSE INALAMBRICO PROFIT","TECNOLOGA"
"C436723","0401020401","CARTUCHO PGI 1100BK  NEGRO MB2010 CANON.","TECNOLOGIA"
"C436779","0202010204","PASTILLA ESTANQUE IGENIX AZUL PACK 3 UND","ASEO Y LIMPIEZA"
"C436792","0401060204","DISCO DURO INTERNO 500GB SATA 6.0GB/S 3.5","TECNOLOGA"
"C437056","0401060301","PENDRIVE  FLIX 4GB MAXELL","TECNOLOGA"
"C437110","0401060304","PENDRIVE  FLIX 32GB","TECNOLOGA"
